021229DC andeq    sb, ip, #0x2c400
021241DC mov      r2, #0x80
021241E0 bl       #0x204409c
021241E4 mov      r4, #0x31
021241E8 ldr      r0, [pc, #0x34] ; literal=0x0212BB0C
021241EC mov      r1, #4
021241F0 mov      r2, #6
021241F4 mov      r3, #0
021241F8 str      r4, [sp]
021241FC bl       #0x2060cd4
02124200 mov      r0, #1
02124204 pop      {r3, r4, r5, r6, r7, pc}
02124208 mvn      r0, #0
0212420C pop      {r3, r4, r5, r6, r7, pc}
02124210 andeq    fp, pc, #8, #20
02124214 andseq   sl, r0, #48, #14
02124218 andseq   sl, r2, #184, #24
0212421C andseq   sl, r2, #72, #24
02124220 andeq    fp, pc, #20, #20
02124224 andseq   fp, r2, #12, #22
02124228 andseq   sl, r2, #28, #24
0212422C mov      r1, #0
02124230 str      r1, [r0, #0x104]
02124234 str      r1, [r0, #0x108]
02124238 mov      r0, r1
0212423C bx       lr
02124240 mov      r0, #0
02124244 bx       lr
02124248 mov      r0, #0
0212424C bx       lr
02124250 push     {r3, r4, lr}
02124254 sub      sp, sp, #0xc
02124258 mov      r4, r0
0212425C bl       #0x211bb4c
02124260 cmp      r0, #0
02124264 beq      #0x21242f0
02124268 ldrh     r0, [r4, #0x10]
0212426C add      r0, r0, #1
02124270 strh     r0, [r4, #0x10]
02124274 ldrh     r1, [r4, #0x10]
02124278 ldrsb    r0, [r4, #0xe]
0212427C cmp      r1, r0
02124280 ble      #0x21242f0
02124284 mov      r1, #0
02124288 mov      r0, #0xb2
0212428C strh     r1, [r4, #0x10]
02124290 bl       #0x20431d4
02124294 ldr      r3, [pc, #0x78] ; literal=0x66666667
02124298 lsr      r1, r0, #0x1f
0212429C smull    r2, ip, r3, r0
021242A0 add      ip, r1, ip, asr #2
021242A4 mov      r3, #0xa
021242A8 smull    r1, r2, r3, ip
021242AC sub      ip, r0, r1
021242B0 add      r0, ip, #0x19
021242B4 strb     r0, [r4, #0xe]
021242B8 ldr      r0, [r4, #0x54]
021242BC mov      r1, #0
021242C0 asr      r0, r0, #0xc
021242C4 str      r0, [sp, #8]
021242C8 ldr      r2, [r4, #0x58]
021242CC ldr      r0, [pc, #0x44] ; literal=0x020FBA14
021242D0 asr      r2, r2, #0xc
021242D4 str      r2, [sp, #4]
021242D8 str      r1, [sp]
021242DC ldr      r0, [r0]
021242E0 add      r2, sp, #8
021242E4 add      r3, sp, #4
021242E8 mov      r1, #0x38
021242EC bl       #0x2066658
021242F0 ldr      r0, [r4, #0x108]
021242F4 sub      r0, r0, #1
021242F8 str      r0, [r4, #0x108]
021242FC cmp      r0, #0
02124300 movgt    r0, #1
02124304 movle    r0, #0
02124308 rsb      r0, r0, #0
0212430C add      sp, sp, #0xc
02124310 pop      {r3, r4, pc}
02124314 strbtvs  r6, [r6], -r7, ror #12
02124318 andeq    fp, pc, #20, #20
0212431C push     {r4, lr}
02124320 mov      r4, r0
02124324 add      r0, r4, #0x30
02124328 mov      r1, #0
0212432C bl       #0x2047904
02124330 mov      r0, #1
02124334 str      r0, [r4, #0x104]
02124338 mov      r1, #0
0212433C mov      r0, #0xb2
02124340 strh     r1, [r4, #0x10]
02124344 bl       #0x20431d4
02124348 ldr      r3, [pc, #0x44] ; literal=0x66666667
0212434C lsr      r1, r0, #0x1f
02124350 smull    r2, ip, r3, r0
02124354 add      ip, r1, ip, asr #2
02124358 mov      r3, #0xa
0212435C smull    r1, r2, r3, ip
02124360 sub      ip, r0, r1
02124364 add      r1, ip, #0x19
02124368 ldr      r0, [pc, #0x28] ; literal=0x020C8A58
0212436C strb     r1, [r4, #0xe]
02124370 ldr      r1, [pc, #0x24] ; literal=0x020C8A5C
02124374 ldr      r2, [r0]
02124378 ldr      r0, [pc, #0x20] ; literal=0x00007E90
0212437C ldr      r1, [r1]
02124380 mul      r0, r2, r0
02124384 bl       #0x202b764
02124388 str      r0, [r4, #0x108]
0212438C mov      r0, #0
02124390 pop      {r4, pc}
02124394 strbtvs  r6, [r6], -r7, ror #12
02124398 andeq    r8, ip, #88, #20
0212439C andeq    r8, ip, #92, #20
021243A0 muleq    r0, r0, lr
021243A4 mov      r0, #0
021243A8 bx       lr
021243AC mov      r0, #0
021243B0 bx       lr
021243B4 push     {r3, r4, lr}
021243B8 sub      sp, sp, #4
021243BC mov      r4, r0
021243C0 ldr      r1, [pc, #0x74] ; literal=0x0212A8D0
021243C4 add      r0, r4, #4
021243C8 str      r1, [r4]
021243CC bl       #0x20474f4
021243D0 ldr      ip, [pc, #0x68] ; literal=0x02124464
021243D4 ldr      r3, [pc, #0x68] ; literal=0x02124450
021243D8 mov      r0, #5
021243DC mov      r1, #0xd8
021243E0 mov      r2, #8
021243E4 str      ip, [sp]
021243E8 bl       #0x202d4b8
021243EC str      r0, [r4, #0xd8]
021243F0 ldr      r2, [pc, #0x48] ; literal=0x02124464
021243F4 ldr      r3, [pc, #0x48] ; literal=0x02124450
021243F8 mov      r0, #3
021243FC mov      r1, #0xd8
02124400 str      r2, [sp]
02124404 mov      r2, #8
02124408 bl       #0x202d4b8
0212440C str      r0, [r4, #0xdc]
02124410 ldr      r1, [pc, #0x30] ; literal=0x0212448C
02124414 mov      r0, #0x14
02124418 str      r1, [sp]
0212441C mov      r1, #0xe4
02124420 mov      r2, #8
02124424 ldr      r3, [pc, #0x20] ; literal=0x02124478
02124428 bl       #0x202d4b8
0212442C str      r0, [r4, #0xe0]
02124430 mov      r0, r4
02124434 add      sp, sp, #4
02124438 pop      {r3, r4, pc}
0212443C andseq   sl, r2, #208, #16
02124440 andseq   r4, r2, #100, #8
02124444 andseq   r4, r2, #80, #8
02124448 andseq   r4, r2, #140, #8
0212444C andseq   r4, r2, #120, #8
02124450 push     {r4, lr}
02124454 mov      r4, r0
02124458 bl       #0x20474f4
0212445C mov      r0, r4
02124460 pop      {r4, pc}
02124464 push     {r4, lr}
02124468 mov      r4, r0
0212446C bl       #0x2047550
02124470 mov      r0, r4
02124474 pop      {r4, pc}
02124478 push     {r4, lr}
0212447C mov      r4, r0
02124480 bl       #0x20474f4
02124484 mov      r0, r4
02124488 pop      {r4, pc}
0212448C push     {r4, lr}
02124490 mov      r4, r0
02124494 bl       #0x2047550
02124498 mov      r0, r4
0212449C pop      {r4, pc}
021244A0 push     {r4, lr}
021244A4 ldr      r1, [pc, #0x80] ; literal=0x0212A8D0
021244A8 mov      r4, r0
021244AC str      r1, [r4]
021244B0 ldr      r0, [r4, #0xd8]
021244B4 cmp      r0, #0
021244B8 beq      #0x21244d4
021244BC ldr      r3, [pc, #0x6c] ; literal=0x02124464
021244C0 mov      r1, #0xd8
021244C4 mov      r2, #8
021244C8 bl       #0x202d70c
021244CC mov      r0, #0
021244D0 str      r0, [r4, #0xd8]
021244D4 ldr      r0, [r4, #0xdc]
021244D8 cmp      r0, #0
021244DC beq      #0x21244f8
021244E0 ldr      r3, [pc, #0x48] ; literal=0x02124464
021244E4 mov      r1, #0xd8
021244E8 mov      r2, #8
021244EC bl       #0x202d70c
021244F0 mov      r0, #0
021244F4 str      r0, [r4, #0xdc]
021244F8 ldr      r0, [r4, #0xe0]
021244FC cmp      r0, #0
02124500 beq      #0x212451c
02124504 ldr      r3, [pc, #0x28] ; literal=0x0212448C
02124508 mov      r1, #0xe4
0212450C mov      r2, #8
02124510 bl       #0x202d70c
02124514 mov      r0, #0
02124518 str      r0, [r4, #0xe0]
0212451C add      r0, r4, #4
02124520 bl       #0x2047550
02124524 mov      r0, r4
02124528 pop      {r4, pc}
0212452C andseq   sl, r2, #208, #16
02124530 andseq   r4, r2, #100, #8
02124534 andseq   r4, r2, #140, #8
02124538 push     {r4, lr}
0212453C ldr      r1, [pc, #0x88] ; literal=0x0212A8D0
02124540 mov      r4, r0
02124544 str      r1, [r4]
02124548 ldr      r0, [r4, #0xd8]
0212454C cmp      r0, #0
02124550 beq      #0x212456c
02124554 ldr      r3, [pc, #0x74] ; literal=0x02124464
02124558 mov      r1, #0xd8
0212455C mov      r2, #8
02124560 bl       #0x202d70c
02124564 mov      r0, #0
02124568 str      r0, [r4, #0xd8]
0212456C ldr      r0, [r4, #0xdc]
02124570 cmp      r0, #0
02124574 beq      #0x2124590
02124578 ldr      r3, [pc, #0x50] ; literal=0x02124464
0212457C mov      r1, #0xd8
02124580 mov      r2, #8
02124584 bl       #0x202d70c
02124588 mov      r0, #0
0212458C str      r0, [r4, #0xdc]
02124590 ldr      r0, [r4, #0xe0]
02124594 cmp      r0, #0
02124598 beq      #0x21245b4
0212459C ldr      r3, [pc, #0x30] ; literal=0x0212448C
021245A0 mov      r1, #0xe4
021245A4 mov      r2, #8
021245A8 bl       #0x202d70c
021245AC mov      r0, #0
021245B0 str      r0, [r4, #0xe0]
021245B4 add      r0, r4, #4
021245B8 bl       #0x2047550
021245BC mov      r0, r4
021245C0 bl       #0x20505f8
021245C4 mov      r0, r4
021245C8 pop      {r4, pc}
021245CC andseq   sl, r2, #208, #16
021245D0 andseq   r4, r2, #100, #8
021245D4 andseq   r4, r2, #140, #8
021245D8 push     {r4, lr}
021245DC ldr      r2, [pc, #0x3c] ; literal=0x0212A8E0
021245E0 mov      r4, r0
021245E4 mov      r1, #0
021245E8 str      r2, [r4]
021245EC mov      r2, r1
021245F0 mov      r0, #8
021245F4 str      r1, [r4, #0x30]
021245F8 bl       #0x211ba44
021245FC ldr      r1, [pc, #0x20] ; literal=0x020FBA08
02124600 ldr      r1, [r1]
02124604 ldr      r1, [r1, #4]
02124608 add      r1, r1, #0x27c
0212460C add      r1, r1, #0x800
02124610 add      r1, r1, r0, lsl #1
02124614 mov      r0, r4
02124618 str      r1, [r4, #0x44]
0212461C pop      {r4, pc}
02124620 andseq   sl, r2, #224, #16
02124624 andeq    fp, pc, #8, #20
02124628 push     {r4, lr}
0212462C ldr      r1, [pc, #0x18] ; literal=0x0212A8E0
02124630 mov      r4, r0
02124634 str      r1, [r4]
02124638 ldr      r1, [r0]
0212463C ldr      r1, [r1, #8]
02124640 blx      r1
02124644 mov      r0, r4
02124648 pop      {r4, pc}
0212464C andseq   sl, r2, #224, #16
02124650 push     {r4, lr}
02124654 ldr      r1, [pc, #0x20] ; literal=0x0212A8E0
02124658 mov      r4, r0
0212465C str      r1, [r4]
02124660 ldr      r1, [r0]
02124664 ldr      r1, [r1, #8]
02124668 blx      r1
0212466C mov      r0, r4
02124670 bl       #0x20505f8
02124674 mov      r0, r4
02124678 pop      {r4, pc}
0212467C andseq   sl, r2, #224, #16
02124680 push     {r4, r5, r6, r7, r8, sb, sl, fp, lr}
02124684 sub      sp, sp, #0xc
02124688 ldr      r4, [pc, #0x1e4] ; literal=0x021244A0
0212468C mov      fp, r0
02124690 ldr      r3, [pc, #0x1e0] ; literal=0x021243B4
02124694 mov      r0, #0xa
02124698 mov      r1, #0xf8
0212469C mov      r2, #8
021246A0 str      r4, [sp]
021246A4 bl       #0x202d4b8
021246A8 str      r0, [fp, #0x30]
021246AC mov      r3, #0
021246B0 ldr      r1, [pc, #0x1c4] ; literal=0x0212A8F0
021246B4 mov      r0, fp
021246B8 mov      r2, #0x20
021246BC str      r3, [fp, #0x34]
021246C0 bl       #0x2043e0c
021246C4 mov      r0, fp
021246C8 bl       #0x2125540
021246CC mov      r0, #0
021246D0 str      r0, [sp, #8]
021246D4 str      r0, [sp, #4]
021246D8 ldr      r1, [fp, #0x30]
021246DC ldr      r0, [sp, #4]
021246E0 mov      r3, #1
021246E4 add      r4, r1, r0
021246E8 str      r3, [r4, #0xf4]
021246EC mov      r2, #0
021246F0 str      r2, [r4, #0xe4]
021246F4 str      r2, [r4, #0xe8]
021246F8 str      r2, [r4, #0xec]
021246FC add      r1, r4, #4
02124700 mov      r0, #8
02124704 str      r3, [r4, #0xf0]
02124708 bl       #0x211ba44
0212470C mov      sb, #0
02124710 mov      r1, #0x3e0000
02124714 mov      r6, #0xff000
02124718 str      r0, [fp, #0x40]
0212471C rsb      r1, r1, #0
02124720 mov      sl, sb
02124724 str      r1, [r4, #0x38]
02124728 rsb      r6, r6, #0
0212472C mov      r8, #8
02124730 mov      r7, sb
02124734 mov      r5, sb
02124738 ldr      r1, [r4, #0xd8]
0212473C mov      r0, r8
02124740 mov      r2, r7
02124744 add      r1, r1, sl
02124748 bl       #0x211ba44
0212474C ldr      r0, [r4, #0xd8]
02124750 add      sb, sb, #1
02124754 add      r0, r0, sl
02124758 str      r6, [r0, #0x34]
0212475C ldr      r0, [r4, #0xd8]
02124760 cmp      sb, #5
02124764 add      r0, r0, sl
02124768 str      r5, [r0, #0xd4]
0212476C add      sl, sl, #0xd8
02124770 blt      #0x2124738
02124774 mov      r7, #0xff000
02124778 mov      r8, #0
0212477C mov      sl, r5
02124780 rsb      r7, r7, #0
02124784 mov      sb, #8
02124788 mov      r6, r8
0212478C ldr      r1, [r4, #0xdc]
02124790 mov      r0, sb
02124794 mov      r2, r8
02124798 add      r1, r1, sl
0212479C bl       #0x211ba44
021247A0 ldr      r0, [r4, #0xdc]
021247A4 add      r5, r5, #1
021247A8 add      r0, r0, sl
021247AC str      r7, [r0, #0x34]
021247B0 ldr      r0, [r4, #0xdc]
021247B4 cmp      r5, #3
021247B8 add      r0, r0, sl
021247BC str      r6, [r0, #0xd4]
021247C0 add      sl, sl, #0xd8
021247C4 blt      #0x212478c
021247C8 mov      r7, #0xff000
021247CC mov      r8, #0
021247D0 mov      sl, r6
021247D4 rsb      r7, r7, #0
021247D8 mov      sb, #8
021247DC mov      r5, r8
021247E0 ldr      r1, [r4, #0xe0]
021247E4 mov      r0, sb
021247E8 mov      r2, r8
021247EC add      r1, r1, sl
021247F0 bl       #0x211ba44
021247F4 ldr      r0, [r4, #0xe0]
021247F8 add      r6, r6, #1
021247FC add      r0, r0, sl
02124800 str      r7, [r0, #0x34]
02124804 ldr      r0, [r4, #0xe0]
02124808 cmp      r6, #0x14
0212480C add      r0, r0, sl
02124810 str      r5, [r0, #0xd4]
02124814 add      sl, sl, #0xe4
02124818 blt      #0x21247e0
0212481C ldr      r0, [sp, #8]
02124820 add      r0, r0, #1
02124824 str      r0, [sp, #8]
02124828 cmp      r0, #0xa
0212482C ldr      r0, [sp, #4]
02124830 add      r0, r0, #0xf8
02124834 str      r0, [sp, #4]
02124838 blt      #0x21246d8
0212483C ldr      r0, [fp, #0x30]
02124840 add      r0, r0, #4
02124844 bl       #0x2047dcc
02124848 add      r0, r0, r0, lsr #31
0212484C asr      r0, r0, #1
02124850 str      r0, [fp, #0x38]
02124854 ldr      r0, [fp, #0x30]
02124858 add      r0, r0, #4
0212485C bl       #0x2047d98
02124860 add      r0, r0, r0, lsr #31
02124864 asr      r0, r0, #1
02124868 str      r0, [fp, #0x3c]
0212486C add      sp, sp, #0xc
02124870 pop      {r4, r5, r6, r7, r8, sb, sl, fp, pc}
02124874 andseq   r4, r2, #160, #8
02124878 andseq   r4, r2, #180, #6
0212487C andseq   sl, r2, #240, #16
02124880 bx       lr
02124884 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
02124888 mov      fp, r0
0212488C bl       #0x2044114
02124890 ldr      r0, [fp, #0x34]
02124894 cmp      r0, #0
02124898 pople    {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
0212489C mov      r0, fp
021248A0 bl       #0x2124a20
021248A4 mov      r4, #0
021248A8 mov      r6, r4
021248AC ldr      r0, [fp, #0x30]
021248B0 add      r5, r0, r6
021248B4 ldr      r0, [r5, #0xe4]
021248B8 cmp      r0, #0
021248BC beq      #0x2124900
021248C0 ldr      r0, [pc, #0x154] ; literal=0x0212AC48
021248C4 ldr      r1, [r5, #0x2c]
021248C8 ldr      r0, [r0]
021248CC rsbs     r0, r0, r1, asr #12
021248D0 bmi      #0x21248e4
021248D4 cmp      r0, #0x100
021248D8 lsllt    r0, r0, #0xc
021248DC sublt    r0, r0, #0x3e0000
021248E0 strlt    r0, [r5, #0x38]
021248E4 add      r0, r5, #4
021248E8 mov      r1, #0x1000
021248EC bl       #0x2047a08
021248F0 mov      r1, #0
021248F4 mov      r2, r1
021248F8 add      r0, r5, #4
021248FC bl       #0x211dc1c
02124900 ldr      r0, [r5, #0xe8]
02124904 cmp      r0, #0
02124908 beq      #0x21249ac
0212490C mov      sb, #0
02124910 mov      sl, sb
02124914 mov      r8, #0x1000
02124918 mov      r7, sb
0212491C ldr      r0, [r5, #0xd8]
02124920 add      r0, r0, sl
02124924 ldr      r1, [r0, #0xd4]
02124928 cmp      r1, #1
0212492C bne      #0x212494c
02124930 mov      r1, r8
02124934 bl       #0x2047a08
02124938 ldr      r0, [r5, #0xd8]
0212493C mov      r1, r7
02124940 mov      r2, r7
02124944 add      r0, r0, sl
02124948 bl       #0x211dc1c
0212494C add      sb, sb, #1
02124950 cmp      sb, #5
02124954 add      sl, sl, #0xd8
02124958 blt      #0x212491c
0212495C mov      sb, #0
02124960 mov      sl, sb
02124964 mov      r8, #0x1000
02124968 mov      r7, sb
0212496C ldr      r0, [r5, #0xdc]
02124970 add      r0, r0, sl
02124974 ldr      r1, [r0, #0xd4]
02124978 cmp      r1, #1
0212497C bne      #0x212499c
02124980 mov      r1, r8
02124984 bl       #0x2047a08
02124988 ldr      r0, [r5, #0xdc]
0212498C mov      r1, r7
02124990 mov      r2, r7
02124994 add      r0, r0, sl
02124998 bl       #0x211dc1c
0212499C add      sb, sb, #1
021249A0 cmp      sb, #3
021249A4 add      sl, sl, #0xd8
021249A8 blt      #0x212496c
021249AC ldr      r0, [r5, #0xec]
021249B0 cmp      r0, #0
021249B4 beq      #0x2124a08
021249B8 mov      sb, #0
021249BC mov      sl, sb
021249C0 mov      r8, #0x1000
021249C4 mov      r7, sb
021249C8 ldr      r0, [r5, #0xe0]
021249CC add      r0, r0, sl
021249D0 ldr      r1, [r0, #0xd4]
021249D4 cmp      r1, #1
021249D8 bne      #0x21249f8
021249DC mov      r1, r8
021249E0 bl       #0x2047a08
021249E4 ldr      r0, [r5, #0xe0]
021249E8 mov      r1, r7
021249EC mov      r2, r7
021249F0 add      r0, r0, sl
021249F4 bl       #0x211dc1c
021249F8 add      sb, sb, #1
021249FC cmp      sb, #0x14
02124A00 add      sl, sl, #0xe4
02124A04 blt      #0x21249c8
02124A08 add      r4, r4, #1
02124A0C cmp      r4, #0xa
02124A10 add      r6, r6, #0xf8
02124A14 blt      #0x21248ac
02124A18 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02124A1C andseq   sl, r2, #72, #24
02124A20 push     {r4, r5, r6, r7, r8, sb, sl, fp, lr}
02124A24 sub      sp, sp, #0x14
02124A28 mov      r1, #0
02124A2C str      r1, [sp, #4]
02124A30 mov      sb, r0
02124A34 mov      sl, r1
02124A38 ldr      r0, [sb, #0x30]
02124A3C add      r4, r0, sl
02124A40 ldr      r0, [r4, #0xf4]
02124A44 cmp      r0, #8
02124A48 addls    pc, pc, r0, lsl #2
02124A4C b        #0x2124ff4
02124A50 b        #0x2124a74
02124A54 b        #0x2124ff4
02124A58 b        #0x2124a94
02124A5C b        #0x2124ff4
02124A60 b        #0x2124ab0
02124A64 b        #0x2124ff4
02124A68 b        #0x2124af0
02124A6C b        #0x2124b6c
02124A70 b        #0x2124ed8
02124A74 mov      r1, #1
02124A78 str      r1, [r4, #0xf4]
02124A7C mov      r0, #0
02124A80 str      r0, [r4, #0xe4]
02124A84 str      r0, [r4, #0xe8]
02124A88 str      r0, [r4, #0xec]
02124A8C str      r1, [r4, #0xf0]
02124A90 b        #0x2124ff4
02124A94 mov      r0, #3
02124A98 str      r0, [r4, #0xf4]
02124A9C mov      r0, #1
02124AA0 str      r0, [r4, #0xe4]
02124AA4 mov      r0, #0
02124AA8 strh     r0, [sb, #0x10]
02124AAC b        #0x2124ff4
02124AB0 mov      r2, #6
02124AB4 add      r0, r4, #4
02124AB8 mov      r1, #1
02124ABC str      r2, [r4, #0xf4]
02124AC0 bl       #0x2047904
02124AC4 mov      r0, #6
02124AC8 str      r0, [r4, #0xf4]
02124ACC mov      r2, #0
02124AD0 str      r2, [r4, #0xe4]
02124AD4 mov      r1, #1
02124AD8 str      r1, [r4, #0xe8]
02124ADC str      r1, [r4, #0xec]
02124AE0 ldr      r0, [r4, #0xd8]
02124AE4 str      r1, [r0, #0xd4]
02124AE8 strh     r2, [sb, #0x10]
02124AEC b        #0x2124ff4
02124AF0 ldrh     r0, [sb, #0x10]
02124AF4 add      r0, r0, #1
02124AF8 strh     r0, [sb, #0x10]
02124AFC ldrh     r0, [sb, #0x10]
02124B00 cmp      r0, #0
02124B04 beq      #0x2124b58
02124B08 mov      r0, #0
02124B0C strh     r0, [sb, #0x10]
02124B10 mov      r0, #7
02124B14 str      r0, [r4, #0xf4]
02124B18 ldr      r1, [r4, #0x28]
02124B1C mov      r0, #2
02124B20 asr      r1, r1, #0xc
02124B24 str      r1, [sp, #0x10]
02124B28 ldr      r2, [r4, #0x2c]
02124B2C add      r1, sp, #8
02124B30 asr      r2, r2, #0xc
02124B34 str      r2, [sp, #0xc]
02124B38 str      r0, [sp, #8]
02124B3C str      r1, [sp]
02124B40 ldr      r0, [pc, #0x4cc] ; literal=0x020FBA14
02124B44 add      r2, sp, #0x10
02124B48 ldr      r0, [r0]
02124B4C add      r3, sp, #0xc
02124B50 mov      r1, #0x35
02124B54 bl       #0x2066658
02124B58 ldr      r1, [r4, #0x28]
02124B5C ldr      r2, [r4, #0x2c]
02124B60 ldr      r0, [pc, #0x4b0] ; literal=0x0000040B
02124B64 bl       #0x211df28
02124B68 b        #0x2124ff4
02124B6C ldrh     r6, [sb, #0x10]
02124B70 ldr      r5, [pc, #0x4a4] ; literal=0x66666667
02124B74 mov      r2, #5
02124B78 lsr      r1, r6, #0x1f
02124B7C smull    r3, r0, r5, r6
02124B80 add      r0, r1, r0, asr #1
02124B84 smull    r0, r1, r2, r0
02124B88 sub      r0, r6, r0
02124B8C mov      r3, #1
02124B90 mov      r5, #0xd8
02124B94 cmp      r0, #0
02124B98 bne      #0x2124bc4
02124B9C ldr      r2, [r4, #0xd8]
02124BA0 add      r1, r2, r5
02124BA4 ldr      r1, [r1, #0xd4]
02124BA8 cmp      r1, #0
02124BAC bne      #0x2124bc4
02124BB0 mov      r0, #0xd8
02124BB4 mla      r0, r3, r0, r2
02124BB8 mov      r1, #1
02124BBC str      r1, [r0, #0xd4]
02124BC0 b        #0x2124bd4
02124BC4 add      r3, r3, #1
02124BC8 cmp      r3, #5
02124BCC add      r5, r5, #0xd8
02124BD0 blt      #0x2124b94
02124BD4 ldrh     r5, [sb, #0x10]
02124BD8 ldr      r3, [pc, #0x440] ; literal=0x55555556
02124BDC mov      r0, #0
02124BE0 smull    r2, r1, r3, r5
02124BE4 add      r1, r1, r5, lsr #31
02124BE8 mov      r3, #3
02124BEC smull    r1, r2, r3, r1
02124BF0 mov      r6, r0
02124BF4 sub      r1, r5, r1
02124BF8 cmp      r1, #0
02124BFC bne      #0x2124c28
02124C00 ldr      r3, [r4, #0xdc]
02124C04 add      r2, r3, r6
02124C08 ldr      r2, [r2, #0xd4]
02124C0C cmp      r2, #0
02124C10 bne      #0x2124c28
02124C14 mov      r1, #0xd8
02124C18 mla      r1, r0, r1, r3
02124C1C mov      r0, #1
02124C20 str      r0, [r1, #0xd4]
02124C24 b        #0x2124c38
02124C28 add      r0, r0, #1
02124C2C cmp      r0, #3
02124C30 add      r6, r6, #0xd8
02124C34 blt      #0x2124bf8
02124C38 mov      r5, #0
02124C3C ldr      r3, [r4, #0xf0]
02124C40 mov      r2, r5
02124C44 cmp      r3, #0
02124C48 beq      #0x2124dfc
02124C4C ldr      r1, [r4, #0xe0]
02124C50 add      r0, r1, r2
02124C54 ldr      r0, [r0, #0xd4]
02124C58 cmp      r0, #0
02124C5C bne      #0x2124dec
02124C60 mov      r0, #0xe4
02124C64 mul      r8, r5, r0
02124C68 add      r1, r1, r8
02124C6C mov      r2, #1
02124C70 mov      r0, #0xb2
02124C74 str      r2, [r1, #0xd4]
02124C78 bl       #0x20431d4
02124C7C ldr      r1, [pc, #0x3a0] ; literal=0x00001998
02124C80 ldr      r2, [pc, #0x3a0] ; literal=0xA0A0A0A1
02124C84 mul      r1, r0, r1
02124C88 smull    r0, r6, r2, r1
02124C8C add      r6, r1, r6
02124C90 lsr      r1, r1, #0x1f
02124C94 mov      r0, #0xb3
02124C98 add      r6, r1, r6, asr #6
02124C9C bl       #0x20431d4
02124CA0 ldr      r2, [pc, #0x384] ; literal=0x0023FFDC
02124CA4 ldr      r1, [pc, #0x370] ; literal=0x66666667
02124CA8 mul      r3, r5, r2
02124CAC ldr      r2, [pc, #0x37c] ; literal=0xB60B60B7
02124CB0 lsr      r7, r0, #0x1f
02124CB4 smull    fp, r5, r1, r0
02124CB8 add      r5, r7, r5, asr #5
02124CBC smull    r7, r1, r2, r3
02124CC0 mov      r7, #0x50
02124CC4 smull    r2, r5, r7, r5
02124CC8 sub      r5, r0, r2
02124CCC add      r5, r5, #0xa
02124CD0 add      r1, r3, r1
02124CD4 lsr      r0, r3, #0x1f
02124CD8 add      r1, r0, r1, asr #8
02124CDC add      r0, r1, r6
02124CE0 asr      r0, r0, #4
02124CE4 lsl      fp, r0, #1
02124CE8 ldr      r0, [pc, #0x344] ; literal=0x02099D6C
02124CEC lsl      r1, fp, #1
02124CF0 lsl      r7, r5, #0xc
02124CF4 ldrsh    r6, [r0, r1]
02124CF8 cmp      r5, #0
02124CFC mov      r0, r7
02124D00 ble      #0x2124d18
02124D04 bl       #0x202ae3c
02124D08 mov      r1, r0
02124D0C mov      r0, #0x3f000000
02124D10 bl       #0x202a1f0
02124D14 b        #0x2124d24
02124D18 bl       #0x202ae3c
02124D1C mov      r1, #0x3f000000
02124D20 bl       #0x202b0b8
02124D24 bl       #0x202adc8
02124D28 smull    r0, r1, r6, r0
02124D2C adds     r2, r0, #0x800
02124D30 ldr      r0, [pc, #0x2fc] ; literal=0x02099D6C
02124D34 adc      r1, r1, #0
02124D38 lsr      r6, r2, #0xc
02124D3C add      r0, r0, fp, lsl #1
02124D40 cmp      r5, #0
02124D44 ldrsh    r5, [r0, #2]
02124D48 orr      r6, r6, r1, lsl #20
02124D4C mov      r0, r7
02124D50 ble      #0x2124d68
02124D54 bl       #0x202ae3c
02124D58 mov      r1, r0
02124D5C mov      r0, #0x3f000000
02124D60 bl       #0x202a1f0
02124D64 b        #0x2124d74
02124D68 bl       #0x202ae3c
02124D6C mov      r1, #0x3f000000
02124D70 bl       #0x202b0b8
02124D74 bl       #0x202adc8
02124D78 smull    r0, r1, r5, r0
02124D7C adds     r3, r0, #0x800
02124D80 ldr      r0, [r4, #0xe0]
02124D84 adc      r2, r1, #0
02124D88 lsr      r3, r3, #0xc
02124D8C add      r1, r0, r8
02124D90 str      r6, [r1, #0xd8]
02124D94 orr      r3, r3, r2, lsl #20
02124D98 str      r3, [r1, #0xdc]
02124D9C mov      r0, #0
02124DA0 str      r0, [r1, #0xe0]
02124DA4 ldr      r1, [r4, #0xe0]
02124DA8 ldr      r0, [r4, #0x28]
02124DAC add      r1, r1, r8
02124DB0 str      r0, [r1, #0x24]
02124DB4 ldr      r0, [r4, #0x2c]
02124DB8 str      r0, [r1, #0x28]
02124DBC ldr      r0, [r4, #0x30]
02124DC0 str      r0, [r1, #0x2c]
02124DC4 ldr      r0, [r4, #0xe0]
02124DC8 add      r2, r0, r8
02124DCC add      r0, r2, #0x24
02124DD0 add      r1, r2, #0xd8
02124DD4 add      r2, r2, #0x24
02124DD8 bl       #0x20028e4
02124DDC ldr      r0, [r4, #0xe0]
02124DE0 add      r0, r0, r8
02124DE4 bl       #0x2047950
02124DE8 b        #0x2124dfc
02124DEC add      r5, r5, #1
02124DF0 cmp      r5, #0xa
02124DF4 add      r2, r2, #0xe4
